year,week,player,brier,pick_acc,conf_rank_corr,conf_mae
2024,15,TD's Nutz,0.09550432240478515,0.8125,0.8647058823529412,2.0
2024,15,KKRAHN21,0.11644182240478515,0.8125,0.8705882352941177,1.625
2024,15,DO YOU FEEL LUCKY PUNK,0.18917871559629632,0.625,0.7588235294117647,2.5
2024,15,Tone 3132,0.17365551502197266,0.625,0.7205882352941175,2.75
2024,15,Fishy Picks,0.08034196222656251,0.875,0.7352941176470589,2.5
2024,15,Omar,0.16999354530842425,0.6875,0.6941176470588235,3.125
2024,15,GOOD,0.08505207316080729,0.875,0.8558823529411764,2.0
2024,15,MR 16,0.11607575244256449,0.8125,0.8764705882352942,1.75
2024,15,BFense,0.056348040658548315,1.0,0.8058823529411765,2.125
2024,15,ShowMeYourTDs,0.16771025258469957,0.75,0.5176470588235293,3.625
2024,15,Hennything Possible,0.08001466076399222,0.875,0.7617647058823529,2.125
2024,15,Oski no 1,0.08817594187744142,0.8125,0.5294117647058824,3.25
2024,15,DADDY YANKEE,0.0809066415154297,0.8125,0.7352941176470589,2.5
2024,15,Mickey's Team,0.12443117296907547,0.75,0.6235294117647059,3.0
2024,15,Diddypicks,0.12189498636736108,0.8125,0.9382352941176471,1.375
2024,15,Mopar,0.09388846508789064,0.875,0.8470588235294119,2.0
2024,15,Boats n Hoes,0.05799904250000001,0.9375,0.44117647058823534,3.25
2024,15,RICHDOG !!!!!!,0.11944995896726202,0.8125,0.7029411764705883,2.25
2024,15,Balz Deep,0.171225777796224,0.75,0.9264705882352942,1.25
2024,15,Piru’s Picks,0.11359900188476563,0.8125,0.7647058823529411,2.375
2024,15,Sutterbrown,0.07878947179280599,0.9375,0.5441176470588236,3.625
2024,15,9 inches,0.08973899576416282,0.875,0.8323529411764706,2.125
2024,15,Handsup,0.11083992065348305,0.875,0.8911764705882352,1.75
2024,15,Brock,0.057271917880045584,1.0,0.788235294117647,2.5
2024,15,OneNDone,0.08101799875895183,0.8125,0.5029411764705883,3.75
2024,15,Knoll34,0.11021234353759762,0.9375,0.7558823529411764,2.5
2024,15,Bucky Swirving,0.060018489205729164,1.0,0.8647058823529412,1.875
2024,15,NFL in PINK,0.05796703103759765,1.0,0.7000000000000001,3.125
2024,15,Johnsonmaia06,0.20432155413316688,0.6875,0.8323529411764706,1.875
2024,15,California Dreaming,0.17407168098958334,0.625,0.6176470588235293,3.25
2024,15,Boldz36,0.10786586511479591,0.875,0.9441176470588234,1.125
2024,15,BigShroomSecurity,0.14927434299997572,0.8125,0.8058823529411765,2.125
2024,15,OB1,0.1487755265445283,0.8125,0.823529411764706,2.0
2024,15,Matt,0.08941405232747396,0.875,0.711764705882353,2.75
2024,15,Big Daddy125,0.11134749640625,0.875,0.6882352941176471,2.875
2024,15,Ballbusters,0.15606696481619062,0.8125,0.8676470588235294,1.875
2024,15,Arcedinero,0.12528829191406252,0.8125,0.6970588235294117,3.0
2024,15,Reggie,0.061259880139973966,0.9375,0.35000000000000003,4.0
2024,15,Jason B,0.13618488566080728,0.8125,0.6852941176470588,2.75
2024,15,EChev,0.12357890587239584,0.8125,0.15588235294117647,4.625
2024,15,Weird,0.10591234353759765,0.9375,0.6676470588235294,2.375
2024,15,Pikachu,0.2344153109733073,0.625,0.8382352941176471,2.25
2024,15,Victorious Bastard,0.19782076039634822,0.75,0.8794117647058824,1.875
2024,15,Lenzen,0.24073564258929098,0.5625,0.4058823529411764,4.125
2024,15,John K,0.1701959273,0.8125,0.6294117647058822,3.0
2024,15,#FlytheW,0.2443548475390625,0.625,0.7323529411764707,2.625
2024,15,Firman's Educated Guesses,0.21500486727544377,0.75,0.2911764705882353,4.375
2024,15,sawyer 0-4 Michigan owns day,0.23510133727539062,0.6875,0.22647058823529412,4.625
2025,2,Back to Back Buckeye Natty,0.15902052344104306,0.75,0.7529411764705882,2.5
2025,2,OneNDone,0.15022358706774377,0.8125,0.3029411764705882,4.5
2025,2,Sixto23,0.15373940102040817,0.8125,0.65,3.0
2025,2,RICHDOG !!!!!!,0.048484077117739346,1.0,0.8411764705882352,1.875
2025,2,Mskrlac,0.14072435042339854,0.8125,0.5764705882352941,3.125
2025,2,Rent’s Due Again,0.2946740017664065,0.5625,0.7558823529411764,2.875
2025,2,Boats N Hoes,0.07244364391840846,0.9375,0.5117647058823529,3.25
2025,2,Forchione,0.1046315809966037,0.75,0.888235294117647,1.875
2025,2,ShowMeYourTDs,0.07075435294405444,0.875,0.6735294117647058,3.25
2025,2,KRAHNSKI,0.11144909825503117,0.875,0.8323529411764706,1.75
2025,2,Dardanes,0.196576643289054,0.75,0.8823529411764707,1.875
2025,2,VT,0.10051778410245722,0.875,0.961764705882353,0.875
2025,2,Lenny,0.18152703052769045,0.75,0.6235294117647059,3.5
2025,2,Ben’s Bears,0.1212898872489612,0.8125,0.7823529411764706,2.125
2025,2,Hennything Possible,0.044188180780541375,1.0,0.8382352941176471,2.0
2025,2,Hands Up,0.046228443168934236,1.0,0.9529411764705882,0.875
2025,2,Bucky Swirving,0.09295571716978457,0.9375,0.8470588235294119,2.25
2025,2,Fishy Picks,0.04707445546875001,0.9375,0.7529411764705882,2.0
2025,2,DADDY YANKEE,0.06497257505668934,0.9375,0.8705882352941177,1.75
2025,2,Brock,0.06228940102040817,0.875,0.8852941176470588,1.75
2025,2,Gman,0.044490627754343995,1.0,0.7235294117647059,2.75
2025,2,dbalz,0.0952982300697229,0.875,0.788235294117647,2.0
2025,2,Comeback Szn,0.1721884151943515,0.6875,0.9029411764705882,1.75
2025,2,Piru’s Picks,0.1171026091677296,0.875,0.7794117647058825,2.375
2025,2,Mopar,0.08597249078798186,0.9375,0.7911764705882354,1.875
2025,2,OB1,0.13286883461738228,0.75,0.888235294117647,1.75
2025,2,Brown$ 42,0.06551208187181122,0.875,0.7794117647058825,2.25
2025,2,Johnsonmaia06,0.06969924158163265,0.875,0.8117647058823528,1.875
2025,2,Big oski no.1,0.08782454149482709,0.875,0.7764705882352941,2.375
2025,2,Rcdinero,0.13205772920741213,0.875,0.8117647058823528,2.0
2025,2,Loveland for ROY,0.12505421177068907,0.8125,0.7647058823529411,2.375
2025,2,thol1572,0.047311721971299917,0.9375,0.7323529411764707,2.75
2025,2,Ride those dogs,0.09770202907986113,0.875,0.8558823529411764,2.0
2025,2,Bfense,0.045046384580498866,1.0,0.7617647058823529,2.375
2025,2,Do You Fell Lucky Punk,0.049320672447208044,0.9375,0.6941176470588235,2.5
2025,2,Go Pack Go,0.05221000149518075,0.9375,0.5529411764705882,3.125
2025,2,MainGangJefe,0.25473778532986113,0.625,0.8558823529411764,1.875
2025,2,mk3415,0.09623878194444446,0.9375,0.7911764705882354,2.375
2025,2,9 Inches,0.08713767300287148,0.9375,0.6323529411764706,3.125
2025,2,Tone,0.2479934304350907,0.625,0.6058823529411764,3.25
2025,2,Fast Eddie,0.18895340120821646,0.8125,0.8029411764705883,2.125
2025,2,Jason B,0.10094550102098454,0.9375,0.6588235294117648,2.875
2025,2,More Birdies,0.07045618059630102,0.875,0.4058823529411764,4.25
2025,2,Firman's Educated Guesses,0.20800647508901288,0.6875,0.6794117647058824,2.625
2025,2,Alan N,0.22695618618020122,0.5625,0.6088235294117647,3.25
2025,2,Ashholes,0.09559749078798185,0.875,0.7323529411764707,2.625
2025,2,Balz Deep,0.1413661381218112,0.875,0.5941176470588235,3.375
